,Unnamed: 0,tweet_id,date,text,user,preproc
170,170,1531840861293760512,2022-06-01 03:31:36+00:00,"Vaguinha passando na sua tl! 👨‍💻🗣️📣

#bolhadev #python

Repo: backendbr
Postado em: 30/05/2022
Tags: CLT - Pleno - Python

Liber Capital

A Squad Persas tem como objetivo desenvolver e manter produtos para a inte...

Link: https://t.co/HB6W4y2sXs",tech_diobis,vaguinha passar tl bolhadev python repo backendbr postar tags clt pleno python liber capital squad persa objetivo desenvolver manter produto inte link https t co hb w y sxs
171,171,1531838735297437696,2022-06-01 03:23:09+00:00,"me candidatei a uma vaga de python e eles me enviaram um link pra testes em .text e a porra não abre 
é brincadeira é vei ?",afrogaara,candidatar vago python enviar link pra teste text porra abrir brincadeira vei
172,172,1531833695299981313,2022-06-01 03:03:07+00:00,vai tomar no cu meu python nao rodava nunca aí fui ver e o programa pradao pra abrir .py era o vscode,PaiDeBot,tomar cu python nao rodar programar pradao pra abrir py vscode
173,173,1531833389296263168,2022-06-01 03:01:54+00:00,"@F3l1p3 @LukeberryPi @brunocroh @lorencinig Python como sempre um pouco estranho nesse quesito de usar métodos que deveriam ser métodos do objeto.

Pq não ter um método .reduce, igual como é Ruby/Javascript.",pdroaugust,f l p lukeberrypi brunocroh lorencinig python estranhar quesito método dever método objeto pq método reduce igual ruby javascript
174,174,1531827838982160390,2022-06-01 02:39:51+00:00,"@mcnathalhao amiga a DSA Academy tem um de power Bi e outro de Python, ambos gratuitos com muito conteúdo e bem didático, os caras são expert nesse tipo de formação. Lá também tem outras formações pagas, inclusive data science.",gmellynx,mcnathalhao amigo dsa academy power bi outro python gratuito conteúdo didático caro expert formação formação pago datar science
175,175,1531821381570134016,2022-06-01 02:14:11+00:00,tô aprendendo a programar em python mas não sei instalar o pacote office https://t.co/6z8WiK7Spg,princsugar,tô aprender programar python instalar pacote office https t co z wik spg
176,176,1531819364822966279,2022-06-01 02:06:11+00:00,"@gabrielbba21 @_StaticVoid Já na parte de enviar pro meu kindle, eu tinha um script em python que também ficava olhando pra minha pasta de livros, e pegava todos os livros que tinham, mas diferença é que eu precisava saber quais livros foram enviados e quais não foram, aí pra isso eu usei um sqlite+",ZezitZ,gabrielbba enviar pro kindle ter script python ficar olhar pra pastar livro pegar livro ter diferençar precisar livro enviar pra usar sqlite
177,177,1531818647596982273,2022-06-01 02:03:20+00:00,"@_StaticVoid Antes eu sempre acordava atrasado pras minhas atividades
Com a ajuda do Jenkins e uma API em Python agora eu consigo fazer o meu celular emitir um som toda manha no mesmo horário e agora sempre acordo na hora",new_roncari,acordar atrasar pras atividades ajudar jenkins api python conseguir celular emitir som manha horário acordar horar
178,178,1531818395246678016,2022-06-01 02:02:19+00:00,"@gabrielbba21 @_StaticVoid Eu primeiro fiz um script em python que pegava todos os arquivos que do dir de download, verificava a extensão e dependendo da extensão ele movia o arquivo de lugar, eu rodava ele num cron job de 10s em 10s, e como era rápido não tinha problema. As regras eram definidas +",ZezitZ,gabrielbba fazer script python pegar arquivo dir download verificar extensão depender extensão mover arquivar rodar cron job s s rápido ter problema regrar ser definir
179,179,1531813838789697537,2022-06-01 01:44:13+00:00,"@samebutbrandnew @Saimonfga @_StaticVoid eu tenho um cron que roda a cada 24h e faz scraping de alguns itens que tenho interesse no ML e OLX

não posso abrir ele em si, mas tem uns exemplos no github com python e node

https://t.co/dejGjR7Je5",educappellotto,samebutbrandnew saimonfga cron rodar h scraping item interessar ml olx abrir si exemplo github python node https t co dejgjr je
180,180,1531813753301393410,2022-06-01 01:43:53+00:00,irmão vc quer me explicar sobre a área que EU trabalho e estudo?? quer saber mais do que eu que trabalho com essa porra todos os dias pq um dia vc estudou um pouquinho sobre python ou Java te fuder,http_lalisantos,irmão vc explicar trabalhar estudar trabalhar porra dia pq dia vc estudar pouco python java fuder
181,181,1531813250572206080,2022-06-01 01:41:53+00:00,"@gabuldev Há um bom tempo atrás implementei uma solução usando backtracking e outra usando algoritmo guloso, em python... 😅 https://t.co/IsPzJNuXam",snahhol,gabuldev haver implementar solução usar backtracking usar algoritmo gulosar python https t co ispzjnuxam
182,182,1531810413108547585,2022-06-01 01:30:36+00:00,"@phernandotelles Eu já vi vários artistas diversificando portfólio com programação. Com Python é possível fazer projeções, programar a luz de espetáculo, criar arranjos de música. Tem os museus tbm que recebem obras com intervenção da tecnologia. Acho que mais do que ajudar no dia-a-dia,",aallanacardoso,phernandotelles vir artista diversificar portfólio programação python projeções programar luzir espetáculo criar arranjo músico museu tbm receber obrar intervenção tecnologia achar ajudar dia dia
183,183,1531809758797344776,2022-06-01 01:28:00+00:00,tenho até amanhã p entregar umas atividades de python e que morte viu,Gersongust1,amanhã p entregar atividades python morte ver
184,184,1531809283146489856,2022-06-01 01:26:07+00:00,"@SovietLunox ah cara
logo Java
podia ser C, Python, Assembly
mas logo Java

piadas programador siga para mais piadas programavou me matar às 13:49",IWAntToDie_jpeg,sovietlunox ah caro java c python assembly java piar programador seguir piar programavou matar
185,185,1531808570408325120,2022-06-01 01:23:17+00:00,preciso pegar meu certificado de python mn vi umas vaguinha ali q pedia hein 👀,oiago,precisar certificar python mn vir vaguinha q pedir hein
186,186,1531808224780902401,2022-06-01 01:21:55+00:00,"“Pai, pq meu nome é tão estranho?” “Seu nome é lindo Python SQL Inferência Gonçalves Barata”",_xjoaox,pai pq nome estranhar nome lindar python sql inferência gonçalves barato
187,187,1531808190186266624,2022-06-01 01:21:46+00:00,Quem falou que Python é fácil? Quero da um chute agora,thoncansado,falar python fácil chutar
188,188,1531807945897525250,2022-06-01 01:20:48+00:00,"@hellababx @sseraphini Ainda bem que o python tem POO
Programação orientada ao ódio",pedropgrangeiro,hellababx sseraphini python poer programação orientar ódio
189,189,1531806897275297793,2022-06-01 01:16:38+00:00,"algum dia eu explico melhor, mas em resumo, o ÚNICO ritual do Python é esse aqui

ele transforma o braço em serpentes e atira para longe, esticando eles em alta velocidade e mudando de direção, de forma reta.

O nerf é que ele só muda de direção se encostar em outra superfice// https://t.co/gxB59VRh5N",PythonMamba1,algum dia explicar melhor resumir único ritual python transformar braço serpente atirar esticar alto velocidade mudar direção reta nerf mudo direção encostar superfice https t co gxb vrh n
190,190,1531805624186576897,2022-06-01 01:11:35+00:00,"pensei q ia ser mó suave fzr a lista/ep
cheguei em casa trebado e lembrei q n lembro porra de python nem da matéria",pierob0n,pensar q ir mó suave fzr lista ep chegar casar trebado lembrar q n lembrar porra python matéria
191,191,1531805135248187396,2022-06-01 01:09:38+00:00,"Ideias de projetos em python:
70 projetos iniciantes, intermediários e avançados com tutorial e código
https://t.co/zZZhSA0WSc https://t.co/rvWO19quFH",SilvaEduardodev,ideia projetos python projetos iniciantes intermediário avançar tutorial código https t co zzzhsa wsc https t co rvwo qufh
192,192,1531805050296729602,2022-06-01 01:09:18+00:00,eu vo faze um curso de python pq eu to loco eu rto maluco eu to doido,PATODENOITE,vos fazer cursar python pq to locar rto malucar to doido
193,193,1531804838627090432,2022-06-01 01:08:27+00:00,que orgulho do meu amigo aprendendo análise de dados com python pra aplicar na área dele 🤏🏻🥺💜 todo empenhado,lletisousa,orgulhar amigar aprender análise dar python pra aplicar dele empenhar
194,194,1531802699112624128,2022-06-01 00:59:57+00:00,"@aninha_dev @abraaomoreira_ @MarlonHenq @estudarforabr @coursera @edXOnline Porém existe um limite de cursos que você pode pedir de graça, no Coursera um tempo atrás era 1 a cada 6 meses ou uma especialização por ano... não sei as regras atuais, mas fiz alguns cursos de Python e Django com auxílio deles.",OCam_l,aninha_dev abraaomoreira _ marlonhenq estudarforabr coursera edxonline existir limitar curso pedir graça coursera especialização ano regrar atuais fazer curso python django auxílio deles
195,195,1531798870002438145,2022-06-01 00:44:44+00:00,"Aprendendo python no ódio p calar a boca do palestrinha universitário da turma q não para de falar todas as ✨️maravilhosas soluções✨️ q ele pensou na aula

O cara não deixa ngm falar, crlh",hellababx,aprender python ódio p calar bocar palestrinha universitário turma q falar maravilhoso solução q pensar aula caro deixar ngm falar crlh
196,196,1531798182514106370,2022-06-01 00:42:00+00:00,Resumão de #Python para iniciantes com aulas! [PT-BR] #pythonprogramming #pythondev #dormosheio #braziliandevs #beginners #tutorial https://t.co/q9q74ukOvF,PythonTrends,resumão python iniciantes aula pt br pythondev dormosheio braziliandevs beginners tutorial https t co q q ukovf
197,197,1531797960308178947,2022-06-01 00:41:07+00:00,Eu quebrei. Eu quebrei o python...,MitsuhaYN1,quebrar quebrar python
